Application:, Trigno Discover (2.0.1.3),,,,,,,,,,,,,,
Date/Time:, 01-10-2025 10:15:06,,,,,,,,,,,,,,
Collection Length (seconds):,2.997,,,,,,,,,,,,,,
 Hamstrings right (85641), Hamstrings right (85641),  Rectus Femoris right (85844),  Rectus Femoris right (85844),  Gastrocnemius left (85904),  Gastrocnemius left (85904), TibilaisÂ Anterior right (85650), TibilaisÂ Anterior right (85650),  Hamstrings left (85586),  Hamstrings left (85586), TibilaisÂ Anterior left (85605), TibilaisÂ Anterior left (85605),  Rectus Femoris left (85878),  Rectus Femoris left (85878),  Gastrocnemius right (85873),  Gastrocnemius right (85873)
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
0.0,-0.025839286331836873,0.0,0.01403506698834511,0.0,-0.019719635620486693,0.0,-0.015135842218179152,0.0,-0.021468273261041778,0.0,-0.010086756483197045,0.0,-0.00046615540049567183,0.0,0.001780345365238255
0.0004655,-0.02199104193824589,0.0004655,0.01626192769223531,0.0004655,-0.029107117021304925,0.0004655,-0.010042266858830133,0.0004655,-0.02303791622561828,0.0004655,-0.031994761202473555,0.0004655,-0.003213525779083756,0.0004655,-0.00476698495285434
0.000931,-0.01951885276995674,0.000931,-0.1458274179999977,0.000931,-0.03681059217981412,0.000931,-0.017936589468406896,0.000931,-0.034948475280721855,0.000931,0.04150276700549033,0.000931,-0.025550610364293014,0.000931,0.10374083288423055
0.0013966,-0.027322984456002338,0.0013966,0.017953230982393077,0.0013966,-0.031628070655375616,0.0013966,-0.01140288692713797,0.0013966,0.0012074746945120879,0.0013966,-0.032714915170782434,0.0013966,-0.0026938388345642966,0.0013966,0.007676450686638154
0.0018621,-0.02703484279448524,0.0018621,0.021213303131053417,0.0018621,-0.032442109463045994,0.0018621,-0.011279119269217678,0.0018621,-0.020334330480374724,0.0018621,-0.04728559046388298,0.0018621,-0.01380031543830739,0.0018621,-0.002632260088259039
0.0023276,-0.040362870977918464,0.0023276,0.018946800971178228,0.0023276,-0.07182448733765995,0.0023276,-0.28297805920286107,0.0023276,0.016244596551892598,0.0023276,-0.15449807391261258,0.0023276,0.09494743089359538,0.0023276,-0.06009313390996157
0.0027931,-0.02242694373616963,0.0027931,0.01737586935558411,0.0027931,-0.11908216153362154,0.0027931,-0.004743703889214931,0.0027931,-0.043525328249362324,0.0027931,0.018733788461945584,0.0027931,0.0013736810378232687,0.0027931,0.002419483606539131
0.0032586,-0.022779741916126032,0.0032586,0.010547246173279363,0.0032586,-0.02144578802468208,0.0032586,-0.013150761007624006,0.0032586,-0.0029775691013403916,0.0032586,-0.010962918395033563,0.0032586,0.023653600656336947,0.0032586,-0.0077659342822170565
0.0037241,-0.02500191534255333,0.0037241,0.025482545850387534,0.0037241,-0.035420232947659905,0.0037241,0.005663523175826011,0.0037241,0.010465976548743568,0.0037241,-0.056136205883849113,0.0037241,-0.006310473482998023,0.0037241,-0.0026039700596429665
0.0041897,0.02465434041498914,0.0041897,0.16236946423966786,0.0041897,-0.016890028375752483,0.0041897,-0.04130367636065765,0.0041897,-0.0005294378272920976,0.0041897,-0.07570585391318585,0.0041897,0.014385844072271567,0.0041897,-0.17394540872859812
0.0046552,-0.01745515717870113,0.0046552,0.02416796991745014,0.0046552,-0.14077071198832383,0.0046552,-0.045928309061602085,0.0046552,-0.16210776946094807,0.0046552,-0.09768364177278777,0.0046552,0.11671267242970086,0.0046552,0.014659147725524336
0.0051207,-0.02429885768815764,0.0051207,0.018552105840069406,0.0051207,-0.02792905968502634,0.0051207,-0.011734169249823796,0.0051207,-0.009957672382813774,0.0051207,-0.020107100562948763,0.0051207,-0.009570620911452846,0.0051207,-0.0030822089822197256
0.0055862,-0.1153271266882384,0.0055862,0.25200423285655377,0.0055862,-0.007466868894230435,0.0055862,-0.01079352656962809,0.0055862,-0.01824384090104446,0.0055862,0.09019667763463785,0.0055862,-0.010979405081918425,0.0055862,0.02348198362446372
0.0060517,-0.023070312935188735,0.0060517,0.020131909812666497,0.0060517,-0.017645546057344582,0.0060517,-0.023292567607363843,0.0060517,-0.014116003667139606,0.0060517,-0.017155579464964692,0.0060517,-0.0037335603424524595,0.0060517,0.003649211634365215
0.0065172,-0.02598716346124426,0.0065172,0.020592869400130973,0.0065172,-0.030437095320925246,0.0065172,-0.007729820568763612,0.0065172,0.008911804998723186,0.0065172,-0.03319344119451287,0.0065172,-0.008998743486672298,0.0065172,-0.0010122881772641112
0.0069828,-0.027842151300197526,0.0069828,0.01567348515520555,0.0069828,-0.02906855877519139,0.0069828,-0.013009307987949723,0.0069828,-0.0048512961810932955,0.0069828,-0.012873031916993148,0.0069828,-0.01903104922426015,0.0069828,0.009538360336535009
0.0074483,0.02759136908353282,0.0074483,0.045536466864387844,0.0074483,-0.024432118866783634,0.0074483,0.005629578151275382,0.0074483,-0.011980138261138615,0.0074483,-0.014570069351114847,0.0074483,-0.010505026554666713,0.0074483,0.07953873887105617
0.0079138,-0.02870308741865423,0.0079138,0.014583709401209191,0.0079138,-0.028293069813738123,0.0079138,0.05112810805236497,0.0079138,-0.01972839920465066,0.0079138,-0.02559882756560129,0.0079138,0.04821610611931875,0.0079138,-0.00749015395543169
0.0083793,-0.02035185027000289,0.0083793,0.013707886490124943,0.0083793,-0.03194123059547116,0.0083793,-0.027546525173335664,0.0083793,-0.016916192828847498,0.0083793,0.054589896311323785,0.0083793,-0.004071164980220763,0.0083793,-0.0040206150011325706
0.0088448,-0.029615851293157323,0.0088448,0.014027333784029396,0.0088448,-0.16107861569214718,0.0088448,-0.0049670040377410895,0.0088448,-0.006950657880991042,0.0088448,-0.00452392694634352,0.0088448,-0.0065786264054536435,0.0088448,-0.0031487496637284985
0.0093103,-0.0308949935188075,0.0093103,0.019856587903474943,0.0093103,0.11463742333420465,0.0093103,-0.0357314591592232,0.0093103,-0.010756331147629746,0.0093103,-0.02589225829758268,0.0093103,-0.007429399253291875,0.0093103,-0.003724416788540881
0.0097759,0.13602168791730243,0.0097759,0.008205698831401344,0.0097759,-0.026500864207060375,0.0097759,-0.01719994875304985,0.0097759,0.007281848820857824,0.0097759,-0.03239314394023236,0.0097759,-0.018290573029496732,0.0097759,-0.008733320450522034
0.0102414,-0.018919868983144746,0.0102414,0.02247088063341675,0.0102414,-0.014103088093830343,0.0102414,-0.029968249092424668,0.0102414,-0.010925861165774159,0.0102414,-0.008103370251222439,0.0102414,-0.007891931092249128,0.0102414,-0.0027011124451600515
0.0107069,-0.01235331543813272,0.0107069,0.010784136928638752,0.0107069,-0.02826768944876504,0.0107069,-0.015485548542124705,0.0107069,-0.00732593051344296,0.0107069,-0.048632424161609906,0.0107069,-0.02547439399172578,0.0107069,-0.038004408087903535
0.0111724,-0.03327813299452513,0.0111724,0.01852051601251239,0.0111724,-0.025010974624693715,0.0111724,-0.012874784966621908,0.0111724,-0.0245175580889754,0.0111724,0.0031629887859244,0.0111724,-0.007033825141508944,0.0111724,-0.016260865916460355
