Application:, Trigno Discover (2.0.1.3)
Date/Time:, 26-09-2025 14:23:39
Collection Length (seconds):, 2.997
 Hamstrings right (85641), Hamstrings right (85641),  Rectus Femoris right (85844),  Rectus Femoris right (85844),  Gastrocnemius left (85904),  Gastrocnemius left (85904), TibilaisÂ Anterior right (85650), TibilaisÂ Anterior right (85650),  Hamstrings left (85586),  Hamstrings left (85586), TibilaisÂ Anterior left (85605), TibilaisÂ Anterior left (85605),  Rectus Femoris left (85878),  Rectus Femoris left (85878),  Gastrocnemius right (85873), Gastrocnemius right (85873), , , , , , , , , , , , , , , , , , , , , ,
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), , , , , , , , , , , , , , , , , , , , , ,
0.0,-0.025340659929799794,0.0,0.014936009483584827,0.0,-0.07354695558416983,0.0,0.020143431027889472,0.0,0.009605703663334625,0.0,0.22915302558155046,0.0,-0.01356281066057087,0.0,0.0018302881599332856, , , , , , , , , , , , , , , , , , , , , , 
0.0004655,-0.017209013682082736,0.0004655,0.016494406718290413,0.0004655,0.0002704176965717402,0.0004655,-0.013858904965137737,0.0004655,-0.012899054106740245,0.0004655,-0.022412849114989686,0.0004655,-0.010392049756471356,0.0004655,0.0440327380859131, , , , , , , , , , , , , , , , , , , , , , 
0.000931,-0.02676207780560763,0.000931,0.01695395351344311,0.000931,-0.026352396607674713,0.000931,-0.014148323434976014,0.000931,-0.014953927422415986,0.000931,-0.03955587450952621,0.000931,-0.006194323193975998,0.000931,-0.0012933971691730583, , , , , , , , , , , , , , , , , , , , , , 
0.0013966,-0.001287091624447407,0.0013966,0.02052563013790277,0.0013966,-0.027663131984893338,0.0013966,-0.007462221767728177,0.0013966,-0.0659218273821008,0.0013966,-0.020888435573752365,0.0013966,-0.007255123436289289,0.0013966,-0.012380164690982656, , , , , , , , , , , , , , , , , , , , , , 
0.0018621,-0.021064839046621115,0.0018621,0.021242388868604953,0.0018621,-0.02742886345066835,0.0018621,-0.01129122204704865,0.0018621,-0.006360015892963757,0.0018621,-0.023463242754100253,0.0018621,-0.01046153133045348,0.0018621,-0.030121129437830012, , , , , , , , , , , , , , , , , , , , , , 
0.0023276,-0.02223544345358332,0.0023276,0.0173649535070054,0.0023276,-0.023439882709441702,0.0023276,-0.005767758945259795,0.0023276,-0.011884769914753929,0.0023276,-0.030826888265059294,0.0023276,-0.020713966614381924,0.0023276,-0.003348739047116673, , , , , , , , , , , , , , , , , , , , , , 
0.0027931,7.157157764941038e-05,0.0027931,0.004085967857794636,0.0027931,-0.16150338558547483,0.0027931,-0.02022580317571738,0.0027931,-0.013248098034678777,0.0027931,0.03791068898042492,0.0027931,-0.01602187393097392,0.0027931,-0.009632165177103622, , , , , , , , , , , , , , , , , , , , , , 
0.0032586,-0.023578401960547144,0.0032586,-0.004639168062948529,0.0032586,0.016360928328310157,0.0032586,0.016313076269898186,0.0032586,-0.0009328570059504184,0.0032586,-0.024172152031660777,0.0032586,-0.004097165747247819,0.0032586,-0.004547088913232659, , , , , , , , , , , , , , , , , , , , , , 
0.0037241,-0.02075808680520352,0.0037241,0.0859098850810685,0.0037241,-0.015601287202857613,0.0037241,0.16135398005869808,0.0037241,0.037547233560137325,0.0037241,0.16243051154149463,0.0037241,0.16442119650433196,0.0037241,-0.03666201495203886, , , , , , , , , , , , , , , , , , , , , , 
