Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
0.0,0.015806958483926253,-0.04590541715210362,-0.030400138989284165,-0.013211502526789584,-0.0324147178717782,-0.1393406321278536,0.0039188169678525,0.03328984837676792
0.0004655,0.01722657985368002,-0.04995481997529721,-0.0310521,-0.011163173014573107,-0.02030942058835452,-0.16486592230401248,0.006432602647235858,0.04076414713174687
0.000931,0.019788622083372568,-0.05737110156687274,-0.0310521,-0.008736013166156548,-0.011544716858769788,-0.14463967056882462,0.009668815778457938,0.040629264750470885
0.0013966,0.021582900156606175,-0.06691479229881084,-0.029631649608484568,-0.0068785997807513585,-0.00397284948319963,-0.08208470043849728,0.012187436872826403,0.024395207701189164
0.0018621,0.02145132793913891,-0.06106372793913891,-0.027550351313966395,-0.0059843065006900675,-0.007913347381234956,-0.05488121556933876,0.01583302730755892,-0.0034468954356885713
0.0023276,0.01921549763408888,-0.0428016,-0.02714762653654131,-0.006260229923377782,-0.025953664323874626,-0.06613920102092535,0.019232881745203934,-0.030628271515337282
0.0027931,0.016693376392766607,-0.017320637532776746,-0.028259007430639364,-0.008268748543662868,-0.04419740516967384,-0.07769729999801703,0.020135338854040955,-0.057311584479080656
0.0032586,0.015306525022004955,0.003140837728851136,-0.02670411251100248,-0.008647637444987612,-0.05509083718092815,-0.07999964995599008,0.022627379777670646,-0.08766167109812575
0.0037241,0.01815831310733973,0.0175530508097863,-0.025917393446330136,-0.010387604905147152,-0.053426668909123495,-0.0652141492481139,0.022442201648522713,-0.123906303181245
0.0041897,0.019697865984239706,0.019605787978986274,-0.02514761700788015,-0.011542231345344304,-0.0447026123749793,-0.05418076339861974,0.022057351646775546,-0.14109790053833907
0.0046552,0.02060219059052275,0.01809589131600994,-0.02303860940947725,-0.012921349791393226,-0.027421339019185528,-0.03751546882822754,0.018597153659554857,-0.13770130167100408
0.0051207,0.01975973086364389,0.024356021660220314,-0.021704259216323143,-0.010992932487745409,-0.006153542505804806,-0.02344957580818604,0.018321474993550215,-0.1058354391337762
0.0055862,0.017800826635097453,0.024495514170360277,-0.023143578635640476,-0.009970178430408786,0.015270769556294275,-0.01423542600664847,0.01946187781471372,-0.06593832114637392
0.0060517,0.01388044373317908,0.020936462401466568,-0.023969203335261514,-0.009848209467515067,0.010839320800488857,-0.027538096933873223,0.02122245599768618,-0.03464652173202217
0.0065172,0.011674053895857161,0.014150752034315376,-0.022033846424564938,-0.010798058127348405,-0.008803546104142839,-0.0514043111890769,0.023811151169762748,-0.02422024270678026
0.0069828,0.008737780036383197,0.0044214978015255256,-0.020802343525131387,-0.011134458812828471,-0.021911555445374067,-0.06742860790388873,0.025648281344848513,-0.04119120350693979
0.0074483,0.0037080782249691415,0.0026340752127247866,-0.019671839155257328,-0.010151871119807827,-0.033686830032978746,-0.05423533821881267,0.02620649080560745,-0.10868542888019217
0.0079138,-0.0018825151746675965,0.004581085650918469,-0.01696577047625087,-0.008457046984167249,-0.05356041444957523,-0.033045751555668294,0.02711129320974423,-0.18498257200341112
0.0083793,0.0009964890099179269,0.008874864732850929,-0.01646035442384464,-0.0075978044083936346,-0.06650462729240705,-0.0016821027243031357,0.029306693387409547,-0.19805391624052096
0.0088448,0.0064872399110931294,0.017495339861700425,-0.0164492,-0.008438589985182187,-0.05904394805310299,0.032967711541876825,0.03025898998518219,-0.1575833765211047
0.0093103,0.012076878875337352,0.024098685830244916,-0.01738161060565465,-0.0068186244118246305,-0.015244352110811243,0.0630030479928339,0.027322762162588988,-0.11959007934256762
0.0097759,0.013107276521590189,0.034169557527859384,-0.014053414867737191,-0.004309531901100856,0.0490158507931429,0.08682654388772261,0.026988067655802753,-0.097436239761729
0.0102414,0.014563887930945858,0.042032669827364644,-0.015245040948209393,-0.0018804355604223745,0.10082951860841138,0.09608250880799996,0.026551896579787064,-0.06582493653558498
0.0107069,0.019561660981550034,0.04440903558631395,-0.02115383894009717,-0.0029483568170024193,0.09690946683518827,0.09083331942008124,0.02175417966921967,-0.024646952568706533
0.0111724,0.02354333518057632,0.03948327532143685,-0.02744836409326053,-0.0035228842255482485,0.07032784524672019,0.08180380189912588,0.014826672550572358,-0.00620328351535197
0.0116379,0.024548876678875366,0.029451752484190703,-0.024127323321124636,-0.0048051820607162374,0.039030980313596184,0.06799227051560607,0.010887585924633325,-0.021880321112196004
